203874,GESTÃO DE PORTIFÓLIOS E PROJETOS DE SOFTWARE                          ,4,A ,CARLA SILVA ROCHA AGUIAR
203921,MODELAGEM DE PROCESSOS                                                ,4,A ,RICARDO MATOS CHAIM
206164,INSTRUMENTAÇÃO ELETRÔNICA                                             ,4,A ,MARCELINO MONTEIRO DE ANDRADE
206580,VERIFICAÇÃO E VALIDAÇÃO DE SOFTWARE                                   ,4,A ,RICARDO AJAX DIAS KOSLOSKI
206598,MANUTENÇÃO E EVOLUÇÃO DE SOFTWARE                                     ,4,A ,PAULO ROBERTO MIRANDA MEIRELLES
206610,FUNDAMENTOS DE SISTEMAS DISTRIBUÍDOS                                  ,4,A ,FERNANDO WILLIAM CRUZ
206628,GERÊNCIA DE CONFIGURAÇÃO DE SOFTWARE                                  ,2,A ,RENATO CORAL SAMPAIO
208183,CENTRAIS DE GERAÇÃO TERMOELÉTRICA                                     ,5,A ,FELIPE CHAGAS STORTI
208663,PRODUTIVIDADE E PROFISSIONALISMO EM ENGENHARIA DE SOFTWARE            ,4,A ,WANDER CLEBER MARIA PEREIRA DA SILVA
113778,TECNOLOGIAS DE FABRICAÇÃO 1                                           ,4,A ,VOLKER FRANCO STEIER
117684,PROPULSÃO ELÉTRICA                                                    ,4,A ,PAOLO GESSINI
119130,TEORIA DE CIRCUITOS ELETRÔNICOS 2                                     ,4,A ,JOSE FELICIO DA SILVA
119491,TEORIA DE ELETRÔNICA DIGITAL 2                                        ,4,A ,GILMAR SILVA BESERRA
193666,GESTÃO AMBIENTAL PARA ENGENHARIA                                      ,4,A ,MARIA VITORIA DUARTE FERRARI
195341,ORIENTAÇÃO A OBJETOS                                                  ,4,A ,PAULO ROBERTO MIRANDA MEIRELLES
201383,MICROPROCESSADORES E MICROCONTROLADORES                               ,4,A ,DIOGO CAETANO GARCIA
203815,PRINCIPIOS DE COMUNICAÇÃO                                             ,4,A ,LEONARDO AGUAYO
203912,FUNDAMENTOS DE REDES DE COMPUTADORES                                  ,4,A ,TIAGO ALVES DA FONSECA
206148,PROJETO DE CIRCUITOS ELETRÔNICOS INTEGRADOS 1                         ,4,A ,SANDRO AUGUSTO PAVLIK HADDAD
206318,TÓPICOS ESPECIAIS 1 EM ENGENHARIA DE ENERGIA                          ,4,A ,LUCIANO GONCALVES NOLETO
206598,MANUTENÇÃO E EVOLUÇÃO DE SOFTWARE                                     ,4,A ,RENATO CORAL SAMPAIO
208175,PROJETO INTEGRADOR DE ENGENHARIA 2                                    ,6,A ,RHANDER VIANA
208621,SISTEMAS HIDRÁULICOS E PNEUMÁTICOS                                    ,4,A ,ANDRE MURILO DE ALMEIDA PINTO
208671,ENGENHARIA DE SOFTWARE EXPERIMENTAL                                   ,4,A ,REJANE MARIA DA COSTA FIGUEIREDO
101087,CONTRATAÇÃO DE SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO                   ,4,A ,REJANE MARIA DA COSTA FIGUEIREDO
102865,SISTEMAS DE ENERGIA SOLAR E EÓLICA                                    ,4,A ,JORGE ANDRES CORMANE ANGARITA
107450,MÉTODOS E TÉCNICAS DA ESCRITA CIENTÍFICA                              ,4,A ,VANESSA MARIA DE CASTRO
110141,TÓPICOS ESPECIAIS EM PROGRAMAÇÃO                                      ,4,A ,EDSON ALVES DA COSTA JÚNIOR
117668,PROPULSÃO AERONÁUTICA                                                 ,4,A ,DOMENICO SIMONE
193631,SISTEMAS DE BANCOS DE DADOS                                           ,4,A ,VANDOR ROBERTO VILARDI RISSOLI
199141,PROCESSO DE DESENVOLVIMENTO DE SOFTWARE                               ,4,A ,ANDRE BARROS DE SALES
201324,DESENVOLVIMENTO SUSTENTÁVEL                                           ,4,A ,JOSIANE DO SOCORRO AGUIAR DE SOUZA
201341,ANÁLISE INSTRUMENTAL DE COMBUSTÍVEIS                                  ,4,A ,MARIA DEL PILAR HIDALGO FALLA
208264,MODELAGEM DE SISTEMAS BIOLÓGICOS                                      ,4,A ,CRISTIANO JACQUES MIOSSO RODRIGUES MENDES
113051,CALCULO 3                                                             ,6,AA,VINICIUS DE CARVALHO RISPOLI
163627,CONVERSÃO ELETROMECÂNICA DE ENERGIA                                   ,6,AA,FLÁVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA
114626,QUIMICA GERAL TEORICA                                                 ,4,AA,ROSEANY DE VASCONCELOS VIEIRA LOPES
114634,QUIMICA GERAL EXPERIMENTAL                                            ,2,AA,MARCELO BENTO DA SILVA
168025,MAQUINAS TERMICAS                                                     ,5,AA,PAOLO GESSINI
168033,TRANSFERENCIA DE CALOR                                                ,6,AA,FABIO ALFAIA DA CUNHA
113093,INTRODUCAO A ALGEBRA LINEAR                                           ,4,AA,TATIANE DA SILVA EVANGELISTA
113034,CALCULO 1                                                             ,6,AA,RICARDO RAMOS FRAGELLI
113042,CALCULO 2                                                             ,6,AA,LUIZA YOKO TANEGUTI
102512,ESTÁGIO SUPERVISIONADO                                                ,14,B ,ANDRE MURILO DE ALMEIDA PINTO
119482,TEORIA DE ELETRÔNICA DIGITAL 1                                        ,4,B ,MARCELINO MONTEIRO DE ANDRADE
193321,ENGENHARIA ECONÔMICA                                                  ,4,B ,PAULA MEYER SOARES
193712,ENGENHARIA DE SEGURANÇA DO TRABALHO                                   ,2,B ,MARIA ALZIRA DE ARAUJO NUNES
195308,MECANICA DOS SÓLIDOS PARA ENGENHARIA                                  ,4,B ,MAURA ANGELICA MILFONT SHZU
195413,MÉTODOS NUMÉRICOS PARA ENGENHARIA                                     ,4,B ,LUIZA YOKO TANEGUTI
198005,ENGENHARIA E AMBIENTE                                                 ,4,B ,JOSIANE DO SOCORRO AGUIAR DE SOUZA
208621,SISTEMAS HIDRÁULICOS E PNEUMÁTICOS                                    ,4,B ,ANDRE MURILO DE ALMEIDA PINTO
193682,FUNDAMENTOS DA TEORIA ELETROMAGNÉTICA                                 ,6,B ,ANDRE LUIZ ALMEIDA PENNA
195332,PROBABILIDADE E ESTATÍSTICA APLICADO A ENGENHARIA                     ,4,B ,MARILIA MIRANDA FORTE GOMES
195332,PROBABILIDADE E ESTATÍSTICA APLICADO A ENGENHARIA                     ,4,B ,YEVSEY YEHOSHUA SOBOLEVSKY
195341,ORIENTAÇÃO A OBJETOS                                                  ,4,B ,RENATO CORAL SAMPAIO
203734,MÉTODOS EXPERIMENTAIS PARA ENGENHARIA                                 ,4,B ,RODRIGO ARBEY MUNOZ MENESES
207004,MÁQUINAS DE FLUXO                                                     ,5,B ,JHON NERO VAZ GOULART
119474,PRÁTICA DE ELETRÔNICA DIGITAL 2                                       ,2,B ,MARCUS VINICIUS BATISTUTA
193704,ESTRUTURAS DE DADOS E ALGORITMOS                                      ,4,B ,FABRICIO ATAIDES BRAZ
